wavelength,Rp,u1,u2
0,0.11250, 0.547, 0.1171
4050,0.1137,0.92,-0.0737
4320,0.1157,0.87,-0.0523
4550,0.113,0.79,0.038
4795,0.1134,0.73,0.0726
5015,0.1115,0.71,0.0721
5235,0.1154,0.67,0.0837
5460,0.1117,0.63,0.105
5694,0.1139,0.59,0.1241
5843,0.1155,0.58,0.133
5893,0.1117,0.58,0.1209
5943,0.1156,0.58,0.1295
6079,0.1121,0.55,0.1336
6295,0.1136,0.53,0.1364
6505,0.1128,0.5,0.1512
6715,0.1146,0.5,0.1433
6930,0.1136,0.48,0.1446
7140,0.1146,0.47,0.1449
7340,0.113,0.45,0.1452
7544,0.1157,0.44,0.1464
7849,0.1127,0.42,0.147
8050,0.1111,0.42,0.1476
8250,0.1128,0.4,0.1482
8450,0.112,0.38,0.1474
8660,0.1111,0.37,0.1488
8885,0.1177,0.37,0.1494
